id,listing_url,name,room_type,minimum_nights,host_id,price,created_at,updated_at
23738636,https://www.airbnb.com/rooms/23738636,Cozy room in heart of Neukölln,Private room,2,69422661,$40.00 ,2025-01-19T23:34:46Z,2025-01-19T23:34:46Z
5220557,https://www.airbnb.com/rooms/5220557,Huge one room apartment,Private room,1,11418916,$38.00 ,2025-01-19T23:19:27Z,2025-01-19T23:19:27Z
49300475,https://www.airbnb.com/rooms/49300475,SCHOENHOUSE by limehome - Standard Suite,Entire home/apt,1,390059085,$159.00 ,2025-01-19T22:54:10Z,2025-01-19T22:54:10Z
42697557,https://www.airbnb.com/rooms/42697557,"Studio ""Spicy Wasabi"", 34 qm",Entire home/apt,4,335573202,$134.00 ,2025-01-19T22:28:03Z,2025-01-19T22:28:03Z
19205574,https://www.airbnb.com/rooms/19205574,Room in the heart of Neukölln,Private room,2,134377307,$35.00 ,2025-01-19T22:07:55Z,2025-01-19T22:07:55Z
11251014,https://www.airbnb.com/rooms/11251014,Let the sun shine in!,Entire home/apt,90,58699640,$50.00 ,2025-01-19T21:32:23Z,2025-01-19T21:32:23Z
48483249,https://www.airbnb.com/rooms/48483249,NEU! 165 sqm designer flat in Schöneberg,Entire home/apt,20,7688174,$170.00 ,2025-01-19T21:15:17Z,2025-01-19T21:15:17Z
42300875,https://www.airbnb.com/rooms/42300875,studio apartment not far from the city center,Entire home/apt,30,184661493,$30.00 ,2025-01-19T21:04:26Z,2025-01-19T21:04:26Z
9732185,https://www.airbnb.com/rooms/9732185,Modern apartment close to Ku'damm,Entire home/apt,5,2587611,$70.00 ,2025-01-19T20:20:23Z,2025-01-19T20:20:23Z
4146871,https://www.airbnb.com/rooms/4146871,Lovely Berliner Zimmer with en suite bathroom,Private room,2,1019199,$35.00 ,2025-01-19T20:12:43Z,2025-01-19T20:12:43Z
36541436,https://www.airbnb.com/rooms/36541436,Sailing boat with option to sail + sleep + anchor,Entire home/apt,1,274694797,$189.00 ,2025-01-19T19:59:38Z,2025-01-19T19:59:38Z
22576334,https://www.airbnb.com/rooms/22576334,Mitten im geilsten Kiez Berlins,Entire home/apt,1,165957729,$57.00 ,2025-01-19T19:56:52Z,2025-01-19T19:56:52Z
42871839,https://www.airbnb.com/rooms/42871839,"Bright, central, and quiet  in Friedrichshain",Private room,14,195006466,$29.00 ,2025-01-19T19:10:44Z,2025-01-19T19:10:44Z
29380447,https://www.airbnb.com/rooms/29380447,Bright room with a view in the centre of Berlin,Private room,10,63463003,$49.00 ,2025-01-19T19:08:45Z,2025-01-19T19:08:45Z
42420636,https://www.airbnb.com/rooms/42420636,Komfort Zimmer im Hotel Brandies Berlin nahe Messe,Private room,0,337659501,$101.00 ,2025-01-19T18:58:17Z,2025-01-19T18:58:17Z
44192332,https://www.airbnb.com/rooms/44192332,Beautiful elegant apartment- Ludwig Hoffmann Park,Entire home/apt,30,67500313,$100.00 ,2025-01-19T18:43:20Z,2025-01-19T18:43:20Z
36731204,https://www.airbnb.com/rooms/36731204,Very Beautiful Very Cosy Flat in Great Location !,Entire home/apt,25,275339948,$40.00 ,2025-01-19T18:34:18Z,2025-01-19T18:34:18Z
29222774,https://www.airbnb.com/rooms/29222774,*NEW* sunny & spacious in the heart of Kreuzberg,Entire home/apt,14,11459975,$105.00 ,2025-01-19T18:33:41Z,2025-01-19T18:33:41Z
49591816,https://www.airbnb.com/rooms/49591816,Pension im Grünen Reinickendorf Berlin,Entire home/apt,2,399844037,$150.00 ,2025-01-19T18:26:51Z,2025-01-19T18:26:51Z
12659244,https://www.airbnb.com/rooms/12659244,Sunny room,Private room,1,467817,$35.00 ,2025-01-19T18:03:51Z,2025-01-19T18:03:51Z
44701277,https://www.airbnb.com/rooms/44701277,Ferienhaus für 6 Gäste mit 130m² in Berlin (145064),Entire home/apt,1,252498808,$183.00 ,2025-01-19T17:58:54Z,2025-01-19T17:58:54Z
16536427,https://www.airbnb.com/rooms/16536427,Apartment Blau,Entire home/apt,60,5245778,$34.00 ,2025-01-19T17:38:54Z,2025-01-19T17:38:54Z
5246120,https://www.airbnb.com/rooms/5246120,all included,Entire home/apt,1,27150766,$60.00 ,2025-01-19T17:22:58Z,2025-01-19T17:22:58Z
37928180,https://www.airbnb.com/rooms/37928180,7 и более человек в квартире в центре Берлина.,Entire home/apt,3,125341008,$133.00 ,2025-01-19T17:19:04Z,2025-01-19T17:19:04Z
11222384,https://www.airbnb.com/rooms/11222384,22qm Zimmer im wundervollen Wedding,Private room,1,58474737,$12.00 ,2025-01-19T17:01:19Z,2025-01-19T17:01:19Z
11115298,https://www.airbnb.com/rooms/11115298,"Bright, spacious room in beautiful quiet apartment",Private room,4,12800691,$55.00 ,2025-01-19T16:55:32Z,2025-01-19T16:55:32Z
31708079,https://www.airbnb.com/rooms/31708079,Apartment Berlin north (20 minutes to the center),Entire home/apt,2,48273473,$39.00 ,2025-01-19T16:52:09Z,2025-01-19T16:52:09Z
3814770,https://www.airbnb.com/rooms/3814770,In the heart of Kreuzberg,Private room,1,19614775,$40.00 ,2025-01-19T16:49:41Z,2025-01-19T16:49:41Z
52200232,https://www.airbnb.com/rooms/52200232,2 Zimmer Altbau Apartment,Entire home/apt,2,21502676,$65.00 ,2025-01-19T16:40:45Z,2025-01-19T16:40:45Z
7767411,https://www.airbnb.com/rooms/7767411,Mauerpark: Helles Zimmer mit Balkon,Private room,5,7846233,$39.00 ,2025-01-19T16:39:42Z,2025-01-19T16:39:42Z
4584283,https://www.airbnb.com/rooms/4584283,Townhouse in Berlin mitte,Entire home/apt,90,716475,$180.00 ,2025-01-19T16:16:37Z,2025-01-19T16:16:37Z
20062316,https://www.airbnb.com/rooms/20062316,Small cosy room with high sleeper bed in Mitte,Private room,4,142575003,$18.00 ,2025-01-19T16:15:44Z,2025-01-19T16:15:44Z
42341850,https://www.airbnb.com/rooms/42341850,792 LUX 1 BEDROOM APARTMENT WITH TERRACE IN MITTE,Entire home/apt,3,96302855,$180.00 ,2025-01-19T16:14:16Z,2025-01-19T16:14:16Z
39630178,https://www.airbnb.com/rooms/39630178,cozy roof top apt in the pulsing heart of Neukölln,Entire home/apt,1,259418649,$90.00 ,2025-01-19T15:57:30Z,2025-01-19T15:57:30Z
650784,https://www.airbnb.com/rooms/650784,Beautiful Room in Neukölln,Private room,20,3268804,$20.00 ,2025-01-19T15:50:37Z,2025-01-19T15:50:37Z
43992253,https://www.airbnb.com/rooms/43992253,Wunderschöne 2-Zimmer Wohnung (&Balkon) Kreuzberg,Entire home/apt,7,11126428,$50.00 ,2025-01-19T15:43:56Z,2025-01-19T15:43:56Z
7375010,https://www.airbnb.com/rooms/7375010,H,Entire home/apt,2,38636780,$25.00 ,2025-01-19T15:32:14Z,2025-01-19T15:32:14Z
30334710,https://www.airbnb.com/rooms/30334710,Nice apartment in the centre of Berlin,Entire home/apt,3,12757920,$60.00 ,2025-01-19T15:05:26Z,2025-01-19T15:05:26Z
5046962,https://www.airbnb.com/rooms/5046962,Beautiful Apartment in Berlin,Entire home/apt,6,25504810,$50.00 ,2025-01-19T15:04:07Z,2025-01-19T15:04:07Z
12138993,https://www.airbnb.com/rooms/12138993,Bright 3-room flat in Prenzlauer Berg,Entire home/apt,92,1325279,$65.00 ,2025-01-19T14:51:14Z,2025-01-19T14:51:14Z
41700038,https://www.airbnb.com/rooms/41700038,Sunny 2-room flat w/Balcony Bergmannkiez/Kreuzberg,Entire home/apt,30,1819213,$70.00 ,2025-01-19T14:14:14Z,2025-01-19T14:14:14Z
45374942,https://www.airbnb.com/rooms/45374942,Gitschiner apartment with Balcony,Entire home/apt,7,116235283,$89.00 ,2025-01-19T13:56:06Z,2025-01-19T13:56:06Z
36165198,https://www.airbnb.com/rooms/36165198,Kiez Box 1 All,Private room,2,271993354,$460.00 ,2025-01-19T13:34:36Z,2025-01-19T13:34:36Z
39840556,https://www.airbnb.com/rooms/39840556,"Pivate Room, 1 Bed (140) (Privatzimmer, 1 Bett)",Private room,2,306477150,$50.00 ,2025-01-19T13:27:49Z,2025-01-19T13:27:49Z
8033018,https://www.airbnb.com/rooms/8033018,Beautiful Apartment Prenzlauer Berg,Entire home/apt,7,26813578,$50.00 ,2025-01-19T13:25:07Z,2025-01-19T13:25:07Z
50714973,https://www.airbnb.com/rooms/50714973,Stylish Apartment in Prenzlauer Berg,Entire home/apt,92,154077755,$47.00 ,2025-01-19T13:24:42Z,2025-01-19T13:24:42Z
42805923,https://www.airbnb.com/rooms/42805923,Large - Family - Room,Private room,1,90186621,$999.00 ,2025-01-19T13:19:37Z,2025-01-19T13:19:37Z
8029943,https://www.airbnb.com/rooms/8029943,Cosy flat with beautiful garden,Entire home/apt,14,40070030,$50.00 ,2025-01-19T13:16:55Z,2025-01-19T13:16:55Z
52330739,https://www.airbnb.com/rooms/52330739,"Komfortables Appartment am Kurfürstendamm, 40m2",Entire home/apt,10,13776840,$65.00 ,2025-01-19T13:06:51Z,2025-01-19T13:06:51Z
14498910,https://www.airbnb.com/rooms/14498910,Schönes WG-Zimmer in Moabit,Private room,1,89520978,$15.00 ,2025-01-19T12:54:52Z,2025-01-19T12:54:52Z
2364544,https://www.airbnb.com/rooms/2364544,Airbnb Apartment,Entire home/apt,7,4920909,$50.00 ,2025-01-19T12:50:45Z,2025-01-19T12:50:45Z
42571125,https://www.airbnb.com/rooms/42571125,Enjoy your stay,Entire home/apt,1,152414341,$59.00 ,2025-01-19T12:45:44Z,2025-01-19T12:45:44Z
43083200,https://www.airbnb.com/rooms/43083200,Entspannen im Grünen 🌿🌳,Private room,2,85337726,$20.00 ,2025-01-19T12:41:30Z,2025-01-19T12:41:30Z
48353696,https://www.airbnb.com/rooms/48353696,Large rooftop room with bathroom kitchen & terrace,Private room,4,1915791,$56.00 ,2025-01-19T11:52:26Z,2025-01-19T11:52:26Z
42270152,https://www.airbnb.com/rooms/42270152,Bei mir kannst du nichts falsch machen!,Entire home/apt,14,335854085,$80.00 ,2025-01-19T11:37:15Z,2025-01-19T11:37:15Z
35824828,https://www.airbnb.com/rooms/35824828,Schönes WG-Zimmer am Lietzensee in Charlottenburg.,Entire home/apt,1,86087723,$40.00 ,2025-01-19T11:33:38Z,2025-01-19T11:33:38Z
17993203,https://www.airbnb.com/rooms/17993203,Loft in central berlin with south balcony,Private room,14,9110422,$69.00 ,2025-01-19T11:28:12Z,2025-01-19T11:28:12Z
50585895,https://www.airbnb.com/rooms/50585895,Beautiful and quiet apartment in Charlottenburg,Entire home/apt,90,2412944,$70.00 ,2025-01-19T11:23:17Z,2025-01-19T11:23:17Z
7824963,https://www.airbnb.com/rooms/7824963,Berliner Kiez Wohnung Altbau,Entire home/apt,1,41199304,$50.00 ,2025-01-19T11:21:50Z,2025-01-19T11:21:50Z
42633611,https://www.airbnb.com/rooms/42633611,"2-Raum Apartment ""City Nature"", 51 qm",Entire home/apt,15,210700814,$211.00 ,2025-01-19T11:16:22Z,2025-01-19T11:16:22Z
41061299,https://www.airbnb.com/rooms/41061299,Schöne Berliner Altbauwohnung in Charlottenburg,Entire home/apt,4,150288766,$76.00 ,2025-01-19T11:15:55Z,2025-01-19T11:15:55Z
40946817,https://www.airbnb.com/rooms/40946817,Very cosy & quiet apartment in the city centre,Entire home/apt,6,319033463,$120.00 ,2025-01-19T11:15:53Z,2025-01-19T11:15:53Z
7466821,https://www.airbnb.com/rooms/7466821,shared room,Shared room,1,39102959,$70.00 ,2025-01-19T11:15:21Z,2025-01-19T11:15:21Z
4314353,https://www.airbnb.com/rooms/4314353,stylish ap. @Xberg with lakeview,Shared room,355,21239469,$45.00 ,2025-01-19T10:57:09Z,2025-01-19T10:57:09Z
