listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
23738636,Cozy room in heart of Neukölln,Private room,2,40.0,69422661,Branislav,f,2025-01-19 23:34:46+00:00,2025-01-19 23:34:46
5220557,Huge one room apartment,Private room,1,38.0,11418916,Nile,f,2025-01-19 23:19:27+00:00,2025-01-19 23:19:27
49300475,SCHOENHOUSE by limehome - Standard Suite,Entire home/apt,1,159.0,390059085,,,2025-01-19 22:54:10+00:00,2025-01-19 22:54:10
42697557,"Studio ""Spicy Wasabi"", 34 qm",Entire home/apt,4,134.0,335573202,,,2025-01-19 22:28:03+00:00,2025-01-19 22:28:03
19205574,Room in the heart of Neukölln,Private room,2,35.0,134377307,Anita,f,2025-01-19 22:07:55+00:00,2025-01-19 22:07:55
11251014,Let the sun shine in!,Entire home/apt,90,50.0,58699640,,,2025-01-19 21:32:23+00:00,2025-01-19 21:32:23
48483249,NEU! 165 sqm designer flat in Schöneberg,Entire home/apt,20,170.0,7688174,Tamara,f,2025-01-19 21:15:17+00:00,2025-01-19 21:15:17
42300875,studio apartment not far from the city center,Entire home/apt,30,30.0,184661493,Rina Neg,f,2025-01-19 21:04:26+00:00,2025-01-19 21:04:26
9732185,Modern apartment close to Ku'damm,Entire home/apt,5,70.0,2587611,Klaus,f,2025-01-19 20:20:23+00:00,2025-01-19 20:20:23
4146871,Lovely Berliner Zimmer with en suite bathroom,Private room,2,35.0,1019199,Saskia,f,2025-01-19 20:12:43+00:00,2025-01-19 20:12:43
36541436,Sailing boat with option to sail + sleep + anchor,Entire home/apt,1,189.0,274694797,Yen,f,2025-01-19 19:59:38+00:00,2025-01-19 19:59:38
22576334,Mitten im geilsten Kiez Berlins,Entire home/apt,1,57.0,165957729,Jannick,f,2025-01-19 19:56:52+00:00,2025-01-19 19:56:52
42871839,"Bright, central, and quiet  in Friedrichshain",Private room,14,29.0,195006466,Yanina,f,2025-01-19 19:10:44+00:00,2025-01-19 19:10:44
29380447,Bright room with a view in the centre of Berlin,Private room,10,49.0,63463003,Friederike,f,2025-01-19 19:08:45+00:00,2025-01-19 19:08:45
42420636,Komfort Zimmer im Hotel Brandies Berlin nahe Messe,Private room,1,101.0,337659501,,,2025-01-19 18:58:17+00:00,2025-01-19 18:58:17
44192332,Beautiful elegant apartment- Ludwig Hoffmann Park,Entire home/apt,30,100.0,67500313,,,2025-01-19 18:43:20+00:00,2025-01-19 18:43:20
36731204,Very Beautiful Very Cosy Flat in Great Location !,Entire home/apt,25,40.0,275339948,,,2025-01-19 18:34:18+00:00,2025-01-19 18:34:18
29222774,*NEW* sunny & spacious in the heart of Kreuzberg,Entire home/apt,14,105.0,11459975,Oliver & Anja,f,2025-01-19 18:33:41+00:00,2025-01-19 18:33:41
49591816,Pension im Grünen Reinickendorf Berlin,Entire home/apt,2,150.0,399844037,,,2025-01-19 18:26:51+00:00,2025-01-19 18:26:51
12659244,Sunny room,Private room,1,35.0,467817,Andreas,f,2025-01-19 18:03:51+00:00,2025-01-19 18:03:51
44701277,Ferienhaus für 6 Gäste mit 130m² in Berlin (145064),Entire home/apt,1,183.0,252498808,,,2025-01-19 17:58:54+00:00,2025-01-19 17:58:54
16536427,Apartment Blau,Entire home/apt,60,34.0,5245778,,,2025-01-19 17:38:54+00:00,2025-01-19 17:38:54
5246120,all included,Entire home/apt,1,60.0,27150766,Tomer,f,2025-01-19 17:22:58+00:00,2025-01-19 17:22:58
37928180,7 и более человек в квартире в центре Берлина.,Entire home/apt,3,133.0,125341008,,,2025-01-19 17:19:04+00:00,2025-01-19 17:19:04
11222384,22qm Zimmer im wundervollen Wedding,Private room,1,12.0,58474737,Jonas,f,2025-01-19 17:01:19+00:00,2025-01-19 17:01:19
11115298,"Bright, spacious room in beautiful quiet apartment",Private room,4,55.0,12800691,,,2025-01-19 16:55:32+00:00,2025-01-19 16:55:32
31708079,Apartment Berlin north (20 minutes to the center),Entire home/apt,2,39.0,48273473,Marcel,f,2025-01-19 16:52:09+00:00,2025-01-19 16:52:09
3814770,In the heart of Kreuzberg,Private room,1,40.0,19614775,Emre,f,2025-01-19 16:49:41+00:00,2025-01-19 16:49:41
52200232,2 Zimmer Altbau Apartment,Entire home/apt,2,65.0,21502676,Melanie,f,2025-01-19 16:40:45+00:00,2025-01-19 16:40:45
7767411,Mauerpark: Helles Zimmer mit Balkon,Private room,5,39.0,7846233,Dustin,f,2025-01-19 16:39:42+00:00,2025-01-19 16:39:42
4584283,Townhouse in Berlin mitte,Entire home/apt,90,180.0,716475,Hanya,f,2025-01-19 16:16:37+00:00,2025-01-19 16:16:37
20062316,Small cosy room with high sleeper bed in Mitte,Private room,4,18.0,142575003,Marlene,f,2025-01-19 16:15:44+00:00,2025-01-19 16:15:44
42341850,792 LUX 1 BEDROOM APARTMENT WITH TERRACE IN MITTE,Entire home/apt,3,180.0,96302855,,,2025-01-19 16:14:16+00:00,2025-01-19 16:14:16
39630178,cozy roof top apt in the pulsing heart of Neukölln,Entire home/apt,1,90.0,259418649,Anna,f,2025-01-19 15:57:30+00:00,2025-01-19 15:57:30
650784,Beautiful Room in Neukölln,Private room,20,20.0,3268804,Courtney,f,2025-01-19 15:50:37+00:00,2025-01-19 15:50:37
43992253,Wunderschöne 2-Zimmer Wohnung (&Balkon) Kreuzberg,Entire home/apt,7,50.0,11126428,Farah,f,2025-01-19 15:43:56+00:00,2025-01-19 15:43:56
7375010,H,Entire home/apt,2,25.0,38636780,Nicole,f,2025-01-19 15:32:14+00:00,2025-01-19 15:32:14
30334710,Nice apartment in the centre of Berlin,Entire home/apt,3,60.0,12757920,Karim,f,2025-01-19 15:05:26+00:00,2025-01-19 15:05:26
5046962,Beautiful Apartment in Berlin,Entire home/apt,6,50.0,25504810,Nina,f,2025-01-19 15:04:07+00:00,2025-01-19 15:04:07
12138993,Bright 3-room flat in Prenzlauer Berg,Entire home/apt,92,65.0,1325279,Monique,f,2025-01-19 14:51:14+00:00,2025-01-19 14:51:14
41700038,Sunny 2-room flat w/Balcony Bergmannkiez/Kreuzberg,Entire home/apt,30,70.0,1819213,Eva,f,2025-01-19 14:14:14+00:00,2025-01-19 14:14:14
45374942,Gitschiner apartment with Balcony,Entire home/apt,7,89.0,116235283,Levan,f,2025-01-19 13:56:06+00:00,2025-01-19 13:56:06
36165198,Kiez Box 1 All,Private room,2,460.0,271993354,,,2025-01-19 13:34:36+00:00,2025-01-19 13:34:36
39840556,"Pivate Room, 1 Bed (140) (Privatzimmer, 1 Bett)",Private room,2,50.0,306477150,Mathis,f,2025-01-19 13:27:49+00:00,2025-01-19 13:27:49
8033018,Beautiful Apartment Prenzlauer Berg,Entire home/apt,7,50.0,26813578,Tamara,f,2025-01-19 13:25:07+00:00,2025-01-19 13:25:07
50714973,Stylish Apartment in Prenzlauer Berg,Entire home/apt,92,47.0,154077755,,,2025-01-19 13:24:42+00:00,2025-01-19 13:24:42
42805923,Large - Family - Room,Private room,1,999.0,90186621,,,2025-01-19 13:19:37+00:00,2025-01-19 13:19:37
8029943,Cosy flat with beautiful garden,Entire home/apt,14,50.0,40070030,Wanja,f,2025-01-19 13:16:55+00:00,2025-01-19 13:16:55
52330739,"Komfortables Appartment am Kurfürstendamm, 40m2",Entire home/apt,10,65.0,13776840,,,2025-01-19 13:06:51+00:00,2025-01-19 13:06:51
14498910,Schönes WG-Zimmer in Moabit,Private room,1,15.0,89520978,Jonas,f,2025-01-19 12:54:52+00:00,2025-01-19 12:54:52
2364544,Airbnb Apartment,Entire home/apt,7,50.0,4920909,Timm,f,2025-01-19 12:50:45+00:00,2025-01-19 12:50:45
42571125,Enjoy your stay,Entire home/apt,1,59.0,152414341,Hesham,f,2025-01-19 12:45:44+00:00,2025-01-19 12:45:44
43083200,Entspannen im Grünen 🌿🌳,Private room,2,20.0,85337726,Jill,f,2025-01-19 12:41:30+00:00,2025-01-19 12:41:30
48353696,Large rooftop room with bathroom kitchen & terrace,Private room,4,56.0,1915791,Andrei,f,2025-01-19 11:52:26+00:00,2025-01-19 11:52:26
42270152,Bei mir kannst du nichts falsch machen!,Entire home/apt,14,80.0,335854085,Sainab,f,2025-01-19 11:37:15+00:00,2025-01-19 11:37:15
35824828,Schönes WG-Zimmer am Lietzensee in Charlottenburg.,Entire home/apt,1,40.0,86087723,Luca,f,2025-01-19 11:33:38+00:00,2025-01-19 11:33:38
17993203,Loft in central berlin with south balcony,Private room,14,69.0,9110422,Anja,f,2025-01-19 11:28:12+00:00,2025-01-19 11:28:12
50585895,Beautiful and quiet apartment in Charlottenburg,Entire home/apt,90,70.0,2412944,Magdalena,f,2025-01-19 11:23:17+00:00,2025-01-19 11:23:17
7824963,Berliner Kiez Wohnung Altbau,Entire home/apt,1,50.0,41199304,Berit,f,2025-01-19 11:21:50+00:00,2025-01-19 11:21:50
42633611,"2-Raum Apartment ""City Nature"", 51 qm",Entire home/apt,15,211.0,210700814,,,2025-01-19 11:16:22+00:00,2025-01-19 11:16:22
41061299,Schöne Berliner Altbauwohnung in Charlottenburg,Entire home/apt,4,76.0,150288766,Patrick,f,2025-01-19 11:15:55+00:00,2025-01-19 11:15:55
40946817,Very cosy & quiet apartment in the city centre,Entire home/apt,6,120.0,319033463,Anian,f,2025-01-19 11:15:53+00:00,2025-01-19 11:15:53
7466821,shared room,Shared room,1,70.0,39102959,Manuela,f,2025-01-19 11:15:21+00:00,2025-01-19 11:15:21
4314353,stylish ap. @Xberg with lakeview,Shared room,355,45.0,21239469,Stefan,f,2025-01-19 10:57:09+00:00,2025-01-19 10:57:09
51356485,Renovated Family Apartment in Warschauer Straße,Entire home/apt,1,154.0,371901575,,,2025-01-19 10:56:20+00:00,2025-01-19 10:56:20
23066511,ein schönes Zimmer im Herzen Prenzlbergs,Private room,3,50.0,21239559,Tobias,f,2025-01-19 10:50:46+00:00,2025-01-19 10:50:46
9956966,Sweet Bed inside DDRstyle Apartment,Shared room,1,12.0,19336587,Ayu,f,2025-01-19 10:50:12+00:00,2025-01-19 10:50:12
42111391,Sunny flat in the heart of Bergmannkiez !,Entire home/apt,6,55.0,95407160,Marine,f,2025-01-19 10:49:16+00:00,2025-01-19 10:49:16
44455843,Cozy room in a charming shared flat,Private room,3,35.0,22921735,,,2025-01-19 10:45:25+00:00,2025-01-19 10:45:25
10069929,Bright double room in Berlin,Private room,1,25.0,51671248,Layla,f,2025-01-19 10:43:04+00:00,2025-01-19 10:43:04
26187036,Axel Junior Suite at Axel Hotel Berlin,Hotel room,1,170.0,98159395,,,2025-01-19 10:41:09+00:00,2025-01-19 10:41:09
39248495,Great location with a lot of sunlight,Entire home/apt,3,130.0,43935521,Johannes,f,2025-01-19 10:36:19+00:00,2025-01-19 10:36:19
8676968,Ruhiges Landhauserdgeschoss,Entire home/apt,1,58.0,45572867,Martin,f,2025-01-19 10:31:16+00:00,2025-01-19 10:31:16
41307095,70sqm in Berlin Mitte: Newly furnished apartment,Entire home/apt,7,45.0,18238569,Max,f,2025-01-19 10:23:22+00:00,2025-01-19 10:23:22
36011170,"CHIC, SPACIOUS APARTMENT IN PEACEFUL NEIGHBORHOOD",Entire home/apt,2,141.0,270932564,Ester,f,2025-01-19 10:19:19+00:00,2025-01-19 10:19:19
39492370,"Apartment in Berlin,Lichterfelde West",Entire home/apt,1,69.0,72766229,Oliver,f,2025-01-19 10:13:43+00:00,2025-01-19 10:13:43
13517557,Renovated apartment in the center,Entire home/apt,1,413.0,77631123,Feng,f,2025-01-19 10:07:15+00:00,2025-01-19 10:07:15
44549170,Little gem in the heart of Berlin,Entire home/apt,7,50.0,210979600,Zejna,f,2025-01-19 10:03:23+00:00,2025-01-19 10:03:23
7136371,Spacious and cosy flat in Kreuzberg,Entire home/apt,7,75.0,3410903,Theodor,f,2025-01-19 09:39:47+00:00,2025-01-19 09:39:47
21621006,17m² quiet room in central kreuzberg,Private room,1,29.0,82245405,Klemens,f,2025-01-19 09:26:53+00:00,2025-01-19 09:26:53
19689677,Comfy east side,Entire home/apt,1,50.0,138694757,Jenny,f,2025-01-19 09:26:31+00:00,2025-01-19 09:26:31
46719329,"2-Raum Penthouse, 59 qm, Longstay (1-6 months)",Entire home/apt,29,125.0,210700814,,,2025-01-19 08:54:10+00:00,2025-01-19 08:54:10
22118984,Cosy room to stay,Private room,3,15.0,149151975,Rita,f,2025-01-19 08:39:45+00:00,2025-01-19 08:39:45
11865663,Sonniges Zimmer in cooler 2-er WG,Private room,1,20.0,63252838,Lukas,f,2025-01-19 08:25:35+00:00,2025-01-19 08:25:35
19473299,Cosy room in green area,Private room,1,24.0,21611073,,,2025-01-19 08:21:29+00:00,2025-01-19 08:21:29
9874953,Modern Flat near Potsdamer Platz,Entire home/apt,1,160.0,50814368,Nino,f,2025-01-19 08:07:24+00:00,2025-01-19 08:07:24
44346533,"möbliertes Zimmer, Bad und Küche in Berlin-Mitte",Private room,60,26.0,185127873,Angela,f,2025-01-19 08:03:37+00:00,2025-01-19 08:03:37
52821218,Cosy 3BR 2BTH +A/C +Self Check-In +Street Parking,Entire home/apt,1,119.0,125847915,,,2025-01-19 07:46:01+00:00,2025-01-19 07:46:01
52709676,Berlin Rathenauer Platz,Entire home/apt,2,101.0,332515272,Torsten,f,2025-01-19 07:38:45+00:00,2025-01-19 07:38:45
7341721,"Top location apartment 5, Ostkreuz",Private room,1,40.0,19297176,Danny,f,2025-01-19 07:33:13+00:00,2025-01-19 07:33:13
37584556,Cozy room in Kreuzberg,Private room,3,33.0,78396686,Samira,f,2025-01-19 07:04:54+00:00,2025-01-19 07:04:54
43129947,1 zimmer apartment im Berlin,Entire home/apt,1,17.0,343362459,Rohan,f,2025-01-19 07:03:24+00:00,2025-01-19 07:03:24
40904538,Gemütliches Zimmer im Zentrum Berlins,Private room,3,85.0,42476536,Gesine,f,2025-01-19 07:02:44+00:00,2025-01-19 07:02:44
52292663,1 bedroom Apartment at the heart of Bergmannkiez,Entire home/apt,12,50.0,3776656,Florian,f,2025-01-19 06:45:18+00:00,2025-01-19 06:45:18
32444799,Beautiful room Central Berlin,Private room,4,60.0,183729511,Philipp,f,2025-01-19 06:36:17+00:00,2025-01-19 06:36:17
18358079,calm and nice flat in spandau,Private room,1,35.0,126621397,Samir,f,2025-01-19 06:12:28+00:00,2025-01-19 06:12:28
