listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
48353696,Large rooftop room with bathroom kitchen & terrace,Private room,4,56.0,1915791,Andrei,f,2025-01-19 11:52:26+00:00,2025-01-19 11:52:26
42270152,Bei mir kannst du nichts falsch machen!,Entire home/apt,14,80.0,335854085,Sainab,f,2025-01-19 11:37:15+00:00,2025-01-19 11:37:15
35824828,Schönes WG-Zimmer am Lietzensee in Charlottenburg.,Entire home/apt,1,40.0,86087723,Luca,f,2025-01-19 11:33:38+00:00,2025-01-19 11:33:38
17993203,Loft in central berlin with south balcony,Private room,14,69.0,9110422,Anja,f,2025-01-19 11:28:12+00:00,2025-01-19 11:28:12
50585895,Beautiful and quiet apartment in Charlottenburg,Entire home/apt,90,70.0,2412944,Magdalena,f,2025-01-19 11:23:17+00:00,2025-01-19 11:23:17
7824963,Berliner Kiez Wohnung Altbau,Entire home/apt,1,50.0,41199304,Berit,f,2025-01-19 11:21:50+00:00,2025-01-19 11:21:50
42633611,"2-Raum Apartment ""City Nature"", 51 qm",Entire home/apt,15,211.0,210700814,,,2025-01-19 11:16:22+00:00,2025-01-19 11:16:22
41061299,Schöne Berliner Altbauwohnung in Charlottenburg,Entire home/apt,4,76.0,150288766,Patrick,f,2025-01-19 11:15:55+00:00,2025-01-19 11:15:55
40946817,Very cosy & quiet apartment in the city centre,Entire home/apt,6,120.0,319033463,Anian,f,2025-01-19 11:15:53+00:00,2025-01-19 11:15:53
7466821,shared room,Shared room,1,70.0,39102959,Manuela,f,2025-01-19 11:15:21+00:00,2025-01-19 11:15:21
