listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at,hour_partition
23738636,Cozy room in heart of Neukölln,Private room,2,69422661,40.0,2025-01-19 23:34:46+00:00,2025-01-19 23:34:46+00:00,2025-01-19 23:00:00+00:00
5220557,Huge one room apartment,Private room,1,11418916,38.0,2025-01-19 23:19:27+00:00,2025-01-19 23:19:27+00:00,2025-01-19 23:00:00+00:00
49300475,SCHOENHOUSE by limehome - Standard Suite,Entire home/apt,1,390059085,159.0,2025-01-19 22:54:10+00:00,2025-01-19 22:54:10+00:00,2025-01-19 22:00:00+00:00
42697557,"Studio ""Spicy Wasabi"", 34 qm",Entire home/apt,4,335573202,134.0,2025-01-19 22:28:03+00:00,2025-01-19 22:28:03+00:00,2025-01-19 22:00:00+00:00
19205574,Room in the heart of Neukölln,Private room,2,134377307,35.0,2025-01-19 22:07:55+00:00,2025-01-19 22:07:55+00:00,2025-01-19 22:00:00+00:00
11251014,Let the sun shine in!,Entire home/apt,90,58699640,50.0,2025-01-19 21:32:23+00:00,2025-01-19 21:32:23+00:00,2025-01-19 21:00:00+00:00
48483249,NEU! 165 sqm designer flat in Schöneberg,Entire home/apt,20,7688174,170.0,2025-01-19 21:15:17+00:00,2025-01-19 21:15:17+00:00,2025-01-19 21:00:00+00:00
42300875,studio apartment not far from the city center,Entire home/apt,30,184661493,30.0,2025-01-19 21:04:26+00:00,2025-01-19 21:04:26+00:00,2025-01-19 21:00:00+00:00
9732185,Modern apartment close to Ku'damm,Entire home/apt,5,2587611,70.0,2025-01-19 20:20:23+00:00,2025-01-19 20:20:23+00:00,2025-01-19 20:00:00+00:00
4146871,Lovely Berliner Zimmer with en suite bathroom,Private room,2,1019199,35.0,2025-01-19 20:12:43+00:00,2025-01-19 20:12:43+00:00,2025-01-19 20:00:00+00:00
36541436,Sailing boat with option to sail + sleep + anchor,Entire home/apt,1,274694797,189.0,2025-01-19 19:59:38+00:00,2025-01-19 19:59:38+00:00,2025-01-19 19:00:00+00:00
22576334,Mitten im geilsten Kiez Berlins,Entire home/apt,1,165957729,57.0,2025-01-19 19:56:52+00:00,2025-01-19 19:56:52+00:00,2025-01-19 19:00:00+00:00
42871839,"Bright, central, and quiet  in Friedrichshain",Private room,14,195006466,29.0,2025-01-19 19:10:44+00:00,2025-01-19 19:10:44+00:00,2025-01-19 19:00:00+00:00
29380447,Bright room with a view in the centre of Berlin,Private room,10,63463003,49.0,2025-01-19 19:08:45+00:00,2025-01-19 19:08:45+00:00,2025-01-19 19:00:00+00:00
42420636,Komfort Zimmer im Hotel Brandies Berlin nahe Messe,Private room,1,337659501,101.0,2025-01-19 18:58:17+00:00,2025-01-19 18:58:17+00:00,2025-01-19 18:00:00+00:00
44192332,Beautiful elegant apartment- Ludwig Hoffmann Park,Entire home/apt,30,67500313,100.0,2025-01-19 18:43:20+00:00,2025-01-19 18:43:20+00:00,2025-01-19 18:00:00+00:00
36731204,Very Beautiful Very Cosy Flat in Great Location !,Entire home/apt,25,275339948,40.0,2025-01-19 18:34:18+00:00,2025-01-19 18:34:18+00:00,2025-01-19 18:00:00+00:00
29222774,*NEW* sunny & spacious in the heart of Kreuzberg,Entire home/apt,14,11459975,105.0,2025-01-19 18:33:41+00:00,2025-01-19 18:33:41+00:00,2025-01-19 18:00:00+00:00
49591816,Pension im Grünen Reinickendorf Berlin,Entire home/apt,2,399844037,150.0,2025-01-19 18:26:51+00:00,2025-01-19 18:26:51+00:00,2025-01-19 18:00:00+00:00
12659244,Sunny room,Private room,1,467817,35.0,2025-01-19 18:03:51+00:00,2025-01-19 18:03:51+00:00,2025-01-19 18:00:00+00:00
44701277,Ferienhaus für 6 Gäste mit 130m² in Berlin (145064),Entire home/apt,1,252498808,183.0,2025-01-19 17:58:54+00:00,2025-01-19 17:58:54+00:00,2025-01-19 17:00:00+00:00
16536427,Apartment Blau,Entire home/apt,60,5245778,34.0,2025-01-19 17:38:54+00:00,2025-01-19 17:38:54+00:00,2025-01-19 17:00:00+00:00
5246120,all included,Entire home/apt,1,27150766,60.0,2025-01-19 17:22:58+00:00,2025-01-19 17:22:58+00:00,2025-01-19 17:00:00+00:00
37928180,7 и более человек в квартире в центре Берлина.,Entire home/apt,3,125341008,133.0,2025-01-19 17:19:04+00:00,2025-01-19 17:19:04+00:00,2025-01-19 17:00:00+00:00
11222384,22qm Zimmer im wundervollen Wedding,Private room,1,58474737,12.0,2025-01-19 17:01:19+00:00,2025-01-19 17:01:19+00:00,2025-01-19 17:00:00+00:00
11115298,"Bright, spacious room in beautiful quiet apartment",Private room,4,12800691,55.0,2025-01-19 16:55:32+00:00,2025-01-19 16:55:32+00:00,2025-01-19 16:00:00+00:00
31708079,Apartment Berlin north (20 minutes to the center),Entire home/apt,2,48273473,39.0,2025-01-19 16:52:09+00:00,2025-01-19 16:52:09+00:00,2025-01-19 16:00:00+00:00
3814770,In the heart of Kreuzberg,Private room,1,19614775,40.0,2025-01-19 16:49:41+00:00,2025-01-19 16:49:41+00:00,2025-01-19 16:00:00+00:00
52200232,2 Zimmer Altbau Apartment,Entire home/apt,2,21502676,65.0,2025-01-19 16:40:45+00:00,2025-01-19 16:40:45+00:00,2025-01-19 16:00:00+00:00
7767411,Mauerpark: Helles Zimmer mit Balkon,Private room,5,7846233,39.0,2025-01-19 16:39:42+00:00,2025-01-19 16:39:42+00:00,2025-01-19 16:00:00+00:00
4584283,Townhouse in Berlin mitte,Entire home/apt,90,716475,180.0,2025-01-19 16:16:37+00:00,2025-01-19 16:16:37+00:00,2025-01-19 16:00:00+00:00
