listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
48353696,Large rooftop room with bathroom kitchen & terrace,Private room,4,1915791,56.0,2025-01-19 11:52:26+00:00,2025-01-19 11:52:26+00:00
42270152,Bei mir kannst du nichts falsch machen!,Entire home/apt,14,335854085,80.0,2025-01-19 11:37:15+00:00,2025-01-19 11:37:15+00:00
35824828,Schönes WG-Zimmer am Lietzensee in Charlottenburg.,Entire home/apt,1,86087723,40.0,2025-01-19 11:33:38+00:00,2025-01-19 11:33:38+00:00
17993203,Loft in central berlin with south balcony,Private room,14,9110422,69.0,2025-01-19 11:28:12+00:00,2025-01-19 11:28:12+00:00
50585895,Beautiful and quiet apartment in Charlottenburg,Entire home/apt,90,2412944,70.0,2025-01-19 11:23:17+00:00,2025-01-19 11:23:17+00:00
7824963,Berliner Kiez Wohnung Altbau,Entire home/apt,1,41199304,50.0,2025-01-19 11:21:50+00:00,2025-01-19 11:21:50+00:00
42633611,"2-Raum Apartment ""City Nature"", 51 qm",Entire home/apt,15,210700814,211.0,2025-01-19 11:16:22+00:00,2025-01-19 11:16:22+00:00
41061299,Schöne Berliner Altbauwohnung in Charlottenburg,Entire home/apt,4,150288766,76.0,2025-01-19 11:15:55+00:00,2025-01-19 11:15:55+00:00
40946817,Very cosy & quiet apartment in the city centre,Entire home/apt,6,319033463,120.0,2025-01-19 11:15:53+00:00,2025-01-19 11:15:53+00:00
7466821,shared room,Shared room,1,39102959,70.0,2025-01-19 11:15:21+00:00,2025-01-19 11:15:21+00:00
